parameter,kpi,base_value,min_value,max_value,slope,normalized_sensitivity,elasticity,r_squared,p_value,std_err,abs_sensitivity
task_interval,collisions,3,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
task_interval,tasks_completed,3,2.0,6.0,-1.3333333333333335,-0.2448979591836735,-0.2448979591836735,1.0,9.003163161571059e-11,0.0,0.2448979591836735
task_interval,avg_execution_time,3,2.0,6.0,0.09877839631129115,0.03397551138704316,0.03397551138704316,0.5833428906754163,0.4466934502510776,0.0834813405847903,0.03397551138704316
task_interval,avg_total_time,3,2.0,6.0,-4.874503968253969,-0.38269739142274606,-0.38269739142274606,0.9781901961806544,0.0943620629830289,0.7278546399575435,0.38269739142274606
task_interval,avg_distance,3,2.0,6.0,0.1767768780926673,0.030705380982129656,0.030705380982129656,0.6469826333834531,0.4050249965867482,0.13058015619340357,0.030705380982129656
task_interval,cpu_runtime,3,2.0,6.0,-0.08723958333333331,-0.19914134742404227,-0.19914134742404227,0.9166212904982304,0.18648175142334963,0.026311535705256368,0.19914134742404227
total_tugs,collisions,4,5.0,15.0,1.1102230246251566e-18,3.996802888650564e-17,3.996802888650564e-17,8.320017359752861e-34,1.0,0.03849001794597505,3.996802888650564e-17
total_tugs,tasks_completed,4,5.0,15.0,0.30000000000000004,0.054271356783919596,0.054271356783919596,0.9959016393442625,0.04078329453683389,0.019245008972987143,0.054271356783919596
total_tugs,avg_execution_time,4,5.0,15.0,0.021484287317620778,0.0098234224396354,0.0098234224396354,0.1832860400897229,0.7183526861132691,0.04535145730180159,0.0098234224396354
total_tugs,avg_total_time,4,5.0,15.0,-2.432082697686245,-0.31519289099616504,-0.31519289099616504,0.8141817113042323,0.2837251012705362,1.1618816552842293,0.31519289099616504
total_tugs,avg_distance,4,5.0,15.0,0.049365881032547784,0.01143300521586446,0.01143300521586446,0.4214952897809313,0.550185303832926,0.05783409966584648,0.01143300521586446
